Year,Total index; s.a. IP,Final products and nonindustrial supplies; s.a. IP,Consumer goods; s.a. IP,Durable consumer goods; s.a. IP,Automotive products; s.a. IP,"Computers, video and audio equipment; s.a. IP","Appliances, furniture, and carpeting; s.a. IP",Miscellaneous durable goods; s.a. IP,Nondurable consumer goods; s.a. IP,Nondurable nonenergy consumer goods; s.a. IP,Foods and tobacco; s.a. IP,Clothing; s.a. IP,Chemical products; s.a. IP,Paper products; s.a. IP,Consumer energy products; s.a. IP,Business equipment; s.a. IP,Transit equipment; s.a. IP,Information processing and related equipment; s.a. IP,Industrial and other equipment; s.a. IP,Defense and space equipment; s.a. IP,Construction supplies; s.a. IP,Business supplies; s.a. IP,Materials; s.a. IP,Materials ex. energy materials; s.a. IP,Durable goods materials; s.a. IP,Consumer parts; s.a. IP,Equipment parts; s.a. IP,Other durable materials; s.a. IP,Nondurable goods materials; s.a. IP,Textile materials; s.a. IP,Paper materials; s.a. IP,Chemical materials; s.a. IP,Energy materials; s.a. IP,Manufacturing (SIC); s.a. IP,Manufacturing (NAICS); s.a. IP,Durable manufacturing (NAICS); s.a. IP,Wood product  (NAICS = 321); s.a. IP,Nonmetallic mineral product  (NAICS = 327); s.a. IP,Primary metal  (NAICS = 331); s.a. IP,Fabricated metal product  (NAICS = 332); s.a. IP,Machinery  (NAICS = 333); s.a. IP,Computer and electronic product  (NAICS = 334); s.a. IP,"Electrical equipment, appliance, and component  (NAICS = 335); s.a. IP",Motor vehicles and parts  (NAICS = 3361-3); s.a. IP,Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); s.a. IP,Furniture and related product  (NAICS = 337); s.a. IP,Miscellaneous  (NAICS = 339); s.a. IP,Nondurable manufacturing (NAICS); s.a. IP,"Food, beverage, and tobacco  (NAICS = 311,2); s.a. IP","Textiles and products  (NAICS = 313,4); s.a. IP","Apparel and leather goods  (NAICS = 315,6); s.a. IP",Paper  (NAICS = 322); s.a. IP,Printing and related support activities  (NAICS = 323); s.a. IP,Petroleum and coal products  (NAICS = 324); s.a. IP,Chemical  (NAICS = 325); s.a. IP,Plastics and rubber products  (NAICS = 326); s.a. IP,Other manufacturing; s.a. IP,Mining  (NAICS = 21); s.a. IP,"Electric and gas utilities  (NAICS = 2211,2); s.a. IP","Electric power generation, transmission, and distribution  (NAICS = 2211); s.a. IP",Natural gas distribution  (NAICS = 2212); s.a. IP
1919-01,4.8654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8762,,,,,,,,,,,,,,,,,,,,,,,,23.562,,,
1919-02,4.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7741,,,,,,,,,,,,,,,,,,,,,,,,20.8142,,,
1919-03,4.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5954,,,,,,,,,,,,,,,,,,,,,,,,19.8525,,,
1919-04,4.5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6975,,,,,,,,,,,,,,,,,,,,,,,,21.2264,,,
1919-05,4.6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.672,,,,,,,,,,,,,,,,,,,,,,,,22.1194,,,
1919-06,4.9192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0039,,,,,,,,,,,,,,,,,,,,,,,,22.7376,,,
1919-07,5.2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2847,,,,,,,,,,,,,,,,,,,,,,,,24.1115,,,
1919-08,5.2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4124,,,,,,,,,,,,,,,,,,,,,,,,23.4246,,,
1919-09,5.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2081,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1919-10,5.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.106,,,,,,,,,,,,,,,,,,,,,,,,26.035,,,
1919-11,5.0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2847,,,,,,,,,,,,,,,,,,,,,,,,18.7534,,,
1919-12,5.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1826,,,,,,,,,,,,,,,,,,,,,,,,22.9437,,,
1920-01,5.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7187,,,,,,,,,,,,,,,,,,,,,,,,25.6228,,,
1920-02,5.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7187,,,,,,,,,,,,,,,,,,,,,,,,25.2793,,,
1920-03,5.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5911,,,,,,,,,,,,,,,,,,,,,,,,25.8975,,,
